标题,品牌,名称,SKU,价格,总评数,平均得分,好评数,默认好评,好评率,追评数,视频晒单数,差评数,中评数
米家 空气净化器2S 除雾霾 除甲醛 空气质量屏幕显示 三层净化AC-M4-AA 29W 小米空气净化器,米家,米家米家空气净化器2S,5487565,748,379773,5,299363,293436,0.99,1292,2254,683,686
米家 空气净化器pro 家用办公卧室静音智能除雾霾粉尘PM2.5 霾表屏幕显示AC-M3-CA 66W 小米空气净化器,米家,米家空气净化器pro,4026900,1098,244319,5,199605,178800,0.99,1001,1549,619,529
米家（MIJIA）小米 车载空气净化器除甲醛滤芯,米家（MIJIA）,米家车载空气净化器滤芯,5055336,69,137112,5,115002,105434,0.99,396,153,236,284
米家（MIJIA）小米车载空气净化器(USB车充版）除PM2.5 可更换除甲醛版滤网 静音模式,米家（MIJIA）,米家车载空气净化器（USB车充版）,5445165,289,137112,5,115002,105434,0.99,396,153,236,284
米家（MIJIA）小米 车载空气净化器滤芯 净化PM2.5,米家（MIJIA）,米家车载空气净化器滤芯,4178867,49,137112,5,115002,105434,0.99,396,153,236,284
飞利浦(PHILIPS)空气净化器除甲醛除雾霾除过敏原除细菌病毒家用KJ330F-C03（AC4076）,飞利浦（PHILIPS）,飞利浦AC4076,492788,2299,118413,5,104789,50332,0.97,604,569,1199,1358
飞利浦(PHILIPS)空气净化器除甲醛除雾霾家用除过敏原除细菌病毒数字显示AC4076/18,飞利浦（PHILIPS）,飞利浦AC4076/18,1.00003E+11,2899,118413,5,104789,50332,0.97,604,569,1199,1358
飞利浦(PHILIPS)空气净化器除甲醛除雾霾除过敏原除细菌病毒KJ330F-C03（AC4076）,飞利浦（PHILIPS）,飞利浦AC4076,1.00006E+11,2799,116393,5,104789,48312,0.97,604,569,1199,1358
米家 空气净化器滤芯 小米空气净化器/小米空气净化器2/空气净化器 Pro 通用,米家,米家米家空气净化器滤芯 抗菌版,4482578,138,88642,5,62515,64904,0.99,236,131,60,90
松下（Panasonic）空气净化器家用除过敏原 除雾霾PM2.5二手烟卧室办公室F-PDF35C-G,松下（Panasonic）,松下F-PDF35C-G,298104,699,80912,5,74005,23054,0.97,394,145,543,1328
霍尼韦尔（Honeywell）空气净化器 除甲醛/除雾霾/除菌/除花粉/除二手烟 KJ305F-PAC1101W,霍尼韦尔（Honeywell）,霍尼韦尔KJ305F-PAC1101W,1297518,1649,80189,5,75721,23774,0.98,994,809,581,591
小米（MI）空气净化器滤芯 经济通用版  小米空气净化器1代/空气净化器2/2S/Pro通用,米家,小米空气净化器滤芯,3596265,128,73180,5,59727,51894,0.99,203,75,64,93
飞利浦 (PHILIPS) 空气净化器 家用除甲醛 除雾霾 除过敏原 除细菌 病毒 AC4074,飞利浦（PHILIPS）,飞利浦AC4074,184793,1599,58642,5,48921,30501,0.98,300,365,357,566
飞利浦 (PHILIPS) 空气净化器 家用除甲醛 除雾霾 除过敏原 除细菌 病毒 AC2886/00,飞利浦（PHILIPS）,飞利浦AC2886/00,2786890,1599,53328,5,45401,36354,0.99,288,211,218,219
飞利浦(PHILIPS)空气净化器 家用除甲醛除雾霾除过敏原AC2878/00,飞利浦（PHILIPS）,飞利浦AC2878/00,7535143,1889,53328,5,45401,36354,0.99,288,211,218,219
飞利浦 (PHILIPS) 空气净化器 家用除甲醛 除雾霾 除过敏原 除细菌 病毒 KJ360F-C06(AC3256),飞利浦（PHILIPS）,飞利浦AC3256/00,2142561,1999,53027,5,46719,33528,0.98,551,482,374,297
飞利浦（PHILIPS）空气净化器AC3256+原装滤网FY3137套装,飞利浦（PHILIPS）,飞利浦套装,4201594,2398,53027,5,46719,33528,0.98,551,482,374,297
布鲁雅尔Blueair空气净化器303 家用办公卧室婴儿童房室内轻音 去除甲醛 除雾霾 除花粉二手烟,布鲁雅尔（Blueair）,布鲁雅尔303,853085,2299,51243,5,48105,16212,0.98,443,189,304,415
352 X83 智能空气净化器家用 除雾霾CADR值750立方米/小时 除菌 除甲醛 除过敏源二手烟,352,352x83,3992991,2199,50586,5,48359,32609,0.99,616,748,101,87
