,Unnamed: 0,comment_id,product_id,guid,content,create_time,reference_id,reference_time,score,nickname
0,0,13043218210,100003060627,945594cd-df7d-404a-bca0-edd302ed9506,给老妈买的，这个颜色很好看，渐变紫很适合女性，背后的指纹识别挺灵敏的，手机自重也不重，背后三摄拍照效果也不错，电池续航一般，但对我妈来说够用了，内存够大，看视频拍照片都很够用，全面屏我妈还不大用得惯，需要慢慢适应。总体来说很不错，外观性能都挺好的，对得起这个价格，物流也很快，下单后第二天就收到了～,2019-07-23 13:18:47,100005603524,2019-07-14 12:36:45,5,枪枪抢
1,1,13229312374,100003060627,af356aa4-6abc-4d49-a982-99116da1e256,手机用了挺长时间了。这是给妈妈买的。首先说说颜色。手机外壳的颜色很好看。这种渐变妈妈也很喜欢。屏幕颜色也很好。色彩清晰。具体配置性价比应该还算是这个价位里不错的。用着感觉很不错。反应灵敏。手机屏幕每天都自己换图案也挺好的。指纹反应很快。手机不卡。相当满意东西不错,2019-09-16 09:07:06,100005603524,2019-08-04 00:00:39,5,钱***赵
2,2,13184724305,100003060627,5de7a1b5-b2b7-4c7f-bc50-daca0d74dd77,手机外观渐变红很时尚！更适合女生使用！非常流畅！拍照很清晰！待机时间2～3天！老婆非常喜欢！6GB+126GB足够用了！真正物超所值！值得向大家推荐使用！,2019-09-03 14:34:09,100005603524,2019-08-27 10:53:56,5,j***q
3,3,13088686162,100003060627,679aef27-1bf0-447c-a2b4-4e2ac750c95b,很流畅，不卡，还行吧感觉很棒，渐变红的颜色有蓝色和红色合并，轻薄很适合手拿。夜晚拍摄也很清晰，像素很强大，高清画质,2019-08-06 07:19:02,100005603524,2019-08-01 07:38:20,5,止于丹秋
4,4,13072278053,100003060627,b124bc63-12b1-4558-a1ff-3387938f9a85,"真快啊，头天晚上下单，第二天就送到手里了！直接用华为自带的手机转移app，旧手机的所有设置，文件，app，全都转移过来了，真方便，连小说目录都没变。换机过程轻松愉快。最喜欢这个手机的一点，就是照相的广角功能，一大家子，轻松全部拍到场景里，不用在踩着凳子往后退了，很棒。
手机发热不明显，我也不玩游戏，主要是工作需要的几个app占的存储空间比较大。128机身内存加个128的内存卡，妥妥滴够用！
信号稳定，连接wifi，以前连路由器的5G，隔一个墙是2信号，现在是3个，非常满意啊！
手机自带个透明软壳，开孔精确，但是我还是建议能多送一张钢化膜，省去了新机一上来再购买的麻烦，一步到位，一张膜也没几个钱，我看我同事买的oppo就是开箱全备齐了~加油吧华为，我一家子都用你，希望你越来越好",2019-08-01 07:37:43,100005603524,2019-07-30 22:14:51,5,斌***看
5,5,13257320742,100003060627,af8dfa3f-4f92-4c00-9743-9a1919bd452e,"第1次收到这么快的快递，前天中午定的，今天早晨到的，非常快非常好。
买给家里老人用的，第1个感觉是轻，比原来的机子都轻很多。照相也不错，很清晰。
这个机子不打游戏，也就看看视频，然后照照相，感觉足够用了。",2019-09-23 22:28:02,100005603524,2019-09-22 14:16:50,5,天亮-say-晚安
6,6,12944703304,100003060627,a9576775-083d-45be-88e5-2128b5d6589d,手机?反应很快，拍照很清晰。色泽鲜亮，颜色很中意，很1，唯一的不好就是有点发热，手机?屏幕好像有点窄，很好，很满意，！！！！！！,2019-06-25 13:46:21,100005603524,2019-06-18 12:40:20,5,星霞皎健之巅
7,7,13157145166,100003060627,6b2196dc-dd80-404c-b7e2-382e1d2b2380,用了几天，感觉还不错&hellip;&hellip;运行速度，屏幕显示，待机时间，照相效果都很不错，性价比很高&hellip;&hellip;一千多的机子，很实惠了&hellip;&hellip;,2019-08-26 14:51:30,100002962227,2019-08-18 23:00:43,5,中国海岸警卫部队
8,8,13050931279,100003060627,670ad918-a9ac-43d2-a941-b5d9d96bcc13,荣耀20i颜值爆表的一款手机，外观太好看了，渐变红色超时尚，色彩绚丽，拍照清晰，自拍效果更好，玩游戏速度快，流畅。窄边框，屏幕更大，人脸识别反应灵敏，一点都不卡，充电非常快，一天都用不完，可以两天充一次，系统运行的速度非常快，通信音质清晰，性价比高值得入手非常好的一款手机。,2019-07-25 17:09:05,100004934260,2019-07-22 22:03:22,5,q***q
9,9,13044091591,100003060627,ce34eb49-e329-46d4-bb7a-9dfad5a6a588,"第一个手机就是买的荣耀，现在还是选择荣耀，非常不错的手机！
在京东购物，最吸引我的有两个地方，一是物流超级快！当天下单，当天就能送到，不用长时间等待的感觉就是爽！二是京东的服务，不论是线上的客服还是线下的快递员，态度都非常好！给京东点赞！
再说手机，1399的价格真的是非常便宜了，特别是拍照，功能很强大！照片非常清晰，保真度很高！夜拍效果也很好，真的是很惊喜！说一下人脸解锁的功能，即使说暗光条件，人脸解锁也好用，而且屏幕亮度处理的很好，晚上醒来看手机再也不会刺眼睛了！新手机的流畅度非常好，玩儿游戏很流畅。
不太满意的地方有两个，一是充电，用惯了type-c接口，现在用安卓接口总觉得不太方便，而且不太好插上。充电也不是快充，以为快充满电的时候，发现才充一半的电，有点绝望，所以手机经常只有一半的电量。二是应用处理太麻烦了。系统应用太多了，有些不想用的又卸不了，只能装在一个文件夹，不使用，再断开联网。另外就是后台应用实在太多了，虽然有应用自启动管理，但是没用，一会儿又通知消息，很烦人！关闭信息通知治标不治本的方式，只是希望系统能做的更好，应用管理更直接一些！",2019-07-23 17:15:48,100002962227,2019-07-18 22:34:06,5,nature缘
