标题,品牌,名称,SKU,价格,总评数,平均得分,好评数,默认好评,好评率,追评数,视频晒单数,差评数,中评数
荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 4GB+64GB 幻影蓝 移动联通电信4G全面屏手机 双卡双待,华为（HUAWEI）,华为荣耀8X,100001270083,999.00,2086104,5,1436144,1523418,0.99,11509,8805,6826,5458
Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G手机 双卡双待,Apple,AppleiPhone XR,100000177760,5099.00,1989901,5,1018595,1444774,0.97,17277,9265,18031,8691
Apple iPhone 8 Plus (A1864) 64GB 银色 移动联通电信4G手机,Apple,AppleiPhone 8 Plus,5089255,4399.00,1964975,5,1757199,1372116,0.98,15662,8027,12063,6964
Apple iPhone 8 (A1863) 128GB 金色 移动联通电信4G手机,Apple,AppleiPhone 8,100008710172,3999.00,1481593,5,1300307,1069945,0.98,10303,4445,8279,5026
荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 渐变红 移动联通电信4G全面屏手机 双卡双待,华为（HUAWEI）,华为荣耀10青春版,100002071812,989.00,1089134,5,487436,819434,0.98,5400,4249,3509,2672
Apple iPhone 7 (A1660) 128G 黑色 移动联通电信4G手机,Apple,AppleiPhone7,3133827,2999.00,1047787,5,784320,411728,0.97,11519,1486,11637,8411
Apple iPhone 7 Plus (A1661) 128G 黑色 移动联通电信4G手机,Apple,AppleiPhone7 Plus,3133857,3599.00,1044926,5,899047,349785,0.98,14076,1635,11187,7123
Redmi Note7 4800万双摄千元机 满血骁龙660 18个月超长质保 4000mAh超长续航 4GB+128GB 亮黑色 游戏智能手机 小米 红米,小米（MI）,小米红米Note7,100003227631,1249.00,1021189,5,510533,699738,0.98,8785,6693,4662,3542
Apple iPhone 6s Plus (A1699) 128G 玫瑰金色 移动联通电信4G手机,Apple,AppleiPhone6s Plus,1861102,2799.00,947505,5,882421,510991,0.98,11667,2416,10752,6795
Apple iPhone XS Max (A2103) 64GB 深空灰色 全网通（移动4G优先版） 双卡双待,Apple,AppleiPhone Xs Max,100001860765,6999.00,869199,5,537678,631879,0.98,6439,3733,6059,2921
小米 红米6 3GB+32GB 铂银灰 全网通4G手机 双卡双待 老人机 智能拍照手机,小米（MI）,小米红米6,7651927,699.00,820009,5,732267,615422,0.99,3454,2320,2936,2431
荣耀畅玩8C两天一充 莱茵护眼 刘海屏 全网通版4GB+32GB 极光蓝 移动联通电信4G全面屏手机 双卡双待,华为（HUAWEI）,华为荣耀畅玩8C,100000826642,749.00,741349,5,415557,543636,0.99,3746,3116,2175,1835
华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+64GB 宝石蓝 全网通移动联通电信4G手机 双卡双待,华为（HUAWEI）,华为P20,6946631,2549.00,732182,5,649798,542226,0.99,4706,2229,2862,2416
诺基亚（NOKIA）新105 白色 直板按键 移动联通2G手机 老人手机 学生备用功能机,诺基亚（NOKIA）,诺基亚105,5353304,159.00,618143,5,471186,475579,0.99,2395,1360,2026,2232
vivo Z3 6GB+64GB 极光蓝 骁龙710处理器 全面屏游戏智能手机 移动联通电信全网通4G手机,vivo,vivoZ3,100000773889,1098.00,600392,5,364918,401943,0.98,6085,4431,3650,2895
荣耀V20 游戏手机 麒麟980芯片 魅眼全视屏 4800万深感相机 6GB+128GB 幻影蓝 移动联通电信4G全面屏手机,华为（HUAWEI）,华为荣耀V20,100002881193,2099.00,598754,5,265316,404530,0.97,7418,4024,4290,3046
华为 HUAWEI 畅享9 Plus 4GB+128GB 幻夜黑 全网通 四摄超清全面屏大电池 移动联通电信4G手机 双卡双待,华为（HUAWEI）,华为畅享9 Plus,100000766419,1399.00,542123,5,306169,410688,0.98,2669,1926,1823,1347
OPPO K1 光感屏幕指纹 水滴屏拍照手机 6GB+64GB 梵星蓝 全网通 移动联通电信4G 双卡双待手机,OPPO,OPPOK1,100000727128,1299.00,527919,5,324483,375285,0.98,3593,3268,2654,1939
华为 HUAWEI P30 超感光徕卡三摄麒麟980AI智能芯片全面屏屏内指纹版手机8GB+256GB亮黑色全网通双4G手机,华为（HUAWEI）,华为P30,100002795953,4488.00,515813,5,129588,382600,0.97,3796,2067,2162,1463
荣耀9X 麒麟810 4000mAh超强续航 4800万超清夜拍 6.59英寸升降全面屏 全网通4GB+64GB 魅海蓝,华为（HUAWEI）,华为荣耀9X,100006635632,1399.00,512034,5,139361,369549,0.97,4830,3455,1690,1434
荣耀20i 3200万AI自拍 超广角三摄 全网通版4GB+128GB 渐变红 移动联通电信4G全面屏手机 双卡双待,华为（HUAWEI）,华为荣耀20i,100004934260,1289.00,511709,5,132420,375177,0.96,3656,2134,2352,1760
飞利浦（PHILIPS） E106 石墨黑 环保材质 防尘 直板按键 移动联通 双卡双待 老人手机 学生备用老年功能手机,飞利浦（PHILIPS）,飞利浦E106,3889169,89.00,500535,5,447727,304666,0.98,2676,735,3353,4265
飞利浦（PHILIPS） E105 陨石黑 环保材质 超强震动 直板按键 移动联通2G 双卡双待 老人手机 学生备用功能机,飞利浦（PHILIPS）,飞利浦E105,3599935,99.00,500535,5,447727,304666,0.98,2676,735,3353,4265
荣耀 畅玩7 2GB+16GB 蓝色 全网通4G手机 双卡双待,华为（HUAWEI）,华为荣耀畅玩7,7425622,549.00,499390,5,399847,369137,0.99,1890,898,1436,1323
华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB珠光贝母全网通版双4G手机,华为（HUAWEI）,华为P30 Pro,100004404924,4988.00,496491,5,134736,358404,0.97,3920,2142,2296,1055
Redmi Note7Pro 索尼4800万超清双摄 骁龙675 18个月超长质保 4000mAh超长续航 6GB+128GB 梦幻蓝 游戏智能手机 小米 红米,小米（MI）,小米红米Note7 Pro,7437710,1399.00,464464,5,146599,311582,0.95,6242,3373,3741,2542
Redmi K20Pro 骁龙855 索尼4800万超广角三摄  AMOLED弹出式全面屏 8GB+128GB 火焰红 游戏智能手机 小米 红米,小米（MI）,小米Redmi K20 Pro,100005882976,2499.00,446684,5,140152,298174,0.94,7495,3130,4908,3450
华为 HUAWEI P20 Pro 全面屏徕卡三摄游戏手机 6GB+128GB 极光色 全网通移动联通电信4G手机 双卡双待,华为（HUAWEI）,华为P20 Pro,6946625,2799.00,411788,5,365446,301265,0.99,3176,1507,1598,1316
HUAWEI 华为畅享9 4GB+128GB 极光蓝 高清珍珠屏 AI长续航 全网通标配版 移动联通电信4G手机,华为（HUAWEI）,华为畅享9,100005160068,1199.00,410848,5,195225,317563,0.98,1670,1223,1223,1083
华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+64GB翡冷翠全网通版双4G手机,华为（HUAWEI）,华为Mate 20,100000986086,3199.00,406197,5,292204,293814,0.99,3031,1644,1604,1038
