标题,品牌,名称,SKU,价格,总评数,平均得分,好评数,默认好评,好评率,追评数,视频晒单数,差评数,中评数
华硕（ASUS）笔记本电脑FL8700/YX570顽石游戏本15.6英寸轻薄办公手提电脑 黑色 R5-2500U/GTX1050 2G 套餐三：8G/1T+128G固态,华硕（ASUS）,华硕（ASUS）笔记本电脑FL8700/YX570顽石游戏本15.6英寸轻薄办公手提电脑 黑色 R5-2500U/GTX1050 2G 套餐三：8G/1T+128G固态,31853565212,4899.00,6448,5,5132,3940,0.98,587,137,59,38
华硕（ASUS）笔记本电脑FL8700/YX570顽石游戏本15.6英寸轻薄办公手提电脑 冰钻银  I7-8565U/MX230 2G独显 套餐四：8G内存/256G+1T,华硕（ASUS）,华硕（ASUS）笔记本电脑FL8700/YX570顽石游戏本15.6英寸轻薄办公手提电脑 冰钻银  I7-8565U/MX230 2G独显 套餐四：8G内存/256G+1T,18171493192,5699.00,6448,5,5132,3940,0.98,587,137,59,38
微软（Microsoft）Surface Pro 6 平板电脑笔记本二合一 轻薄便携商务办公本 7 【典雅黑】i5 8G内存 256G存储 标配+特制键盘【颜色咨询客服】+大礼包,微软（Microsoft）,微软（Microsoft）Surface Pro 6,33567968656,8468.00,6521,5,3728,3844,0.97,106,100,64,18
戴尔（DELL）灵越5493燃5000 14英寸酷睿十代轻薄便携独显窄边框商务办公手提笔记本电脑 i5-1035G1 16G 256G固态+1T定制,戴尔（DELL）,戴尔（DELL）灵越5493,10754390366,5099.00,6534,5,4618,3161,0.97,202,59,63,35
联想小新潮7000升级小新14性能版2019款14英寸新8代窄边框超轻薄商务办公学生手提笔记本电脑 星河银 i3-8145U 8G 256G固态｜标配版,联想（Lenovo）,联想小新潮7000升级小新14性能版2019款14英寸新8代窄边框超轻薄商务办公学生手提笔记本电脑 星河银 i3-8145U 8G 256G固态｜标配版,22297651200,3799.00,6496,5,6106,2162,0.97,58,24,60,70
微软（Microsoft）Surface Pro 6 平板电脑笔记本二合一 轻薄便携商务办公本 7 【亮铂金】i7 8G内存 256G存储 标配+原装键盘+surface触控笔【颜色可选】,微软（Microsoft）,微软（Microsoft）Surface Pro 6,34156006147,11268.00,6521,5,3728,3844,0.97,106,100,64,18
联想拯救者Y7000P 2019游戏笔记本电脑15.6英寸高色域全面屏 第9代酷睿i7-9750H 黑色丨64G 1TB纯固态 1660Ti 定制,联想（Lenovo）,联想拯救者Y7000P 2019游戏笔记本电脑15.6英寸高色域全面屏 第9代酷睿i7-9750H 黑色丨64G 1TB纯固态 1660Ti 定制,31943174855,12999.00,6499,5,6148,5481,0.99,18,7,40,20
联想拯救者Y7000P 2019游戏笔记本电脑15.6英寸高色域全面屏 第9代酷睿i7-9750H 冰魂白丨32G 1T固态+1T 1660Ti 定制,联想（Lenovo）,联想拯救者Y7000P 2019游戏笔记本电脑15.6英寸高色域全面屏 第9代酷睿i7-9750H 冰魂白丨32G 1T固态+1T 1660Ti 定制,31595433349,11599.00,6499,5,6148,5481,0.99,18,7,40,20
戴尔（DELL）灵越5370 5390 13.3英寸四核超极本商务办公轻薄笔记本电脑 金属便携手提本 i7-8565U 2G独显 金属灰 官方标配,戴尔（DELL）,戴尔（DELL）灵越5370 5390 13.3英寸四核超极本商务办公轻薄笔记本电脑 金属便携手提本 i7-8565U 2G独显 金属灰 官方标配,27116419604,5999.00,6905,5,4364,4111,0.98,92,38,37,27
华硕（ASUS）笔记本电脑FL8700/YX570顽石游戏本15.6英寸轻薄办公手提电脑 黑色 R5-2500U/GTX1050 2G 套餐四：8G内存/256G+1T,华硕（ASUS）,华硕（ASUS）笔记本电脑FL8700/YX570顽石游戏本15.6英寸轻薄办公手提电脑 黑色 R5-2500U/GTX1050 2G 套餐四：8G内存/256G+1T,31853565213,5099.00,6448,5,5132,3940,0.98,587,137,59,38
