荣耀原装三键线控带麦半入耳式耳机AM115(标准版) AM115（荣耀）,华为（HUAWEI）,荣耀原装三键线控带麦半入耳式耳机AM115(标准版) AM115（荣耀）,27616624683,34.00,2277734,5,2050171,1573450,0.99,5665,71,4560,7211
华为（HUAWEI）荣耀原装三键线控带麦半入耳式耳机AM115(标准版),华为（HUAWEI）,华为AM115,1552946,109.00,2277734,5,2050171,1573450,0.99,5665,71,4560,7211
小米活塞耳机 清新版 银色 入耳式手机耳机 通用耳麦,小米（MI）,小米小米活塞耳机清新版银色,4231348,29.00,1420683,5,1194457,964525,0.99,6194,1618,4105,6033
恩科（ENKOR）EW10 无线蓝牙耳机适用于苹果iphone7/8/X 运动商务双耳入耳式迷你华为小米手机耳机 5.0尊享版,ENKOR,ENKOREW10,100001053174,179.00,1360527,5,343390,1140776,0.97,2592,786,5652,4029
Apple AirPods 配充电盒 Apple蓝牙耳机,Apple,AppleAirPods,100004325476,1246.00,972062,5,584695,747574,0.98,4045,3047,3772,2383
酷狗（KUGOU）小酷M1无线运动蓝牙耳机 霍尔磁吸开关 入耳式 安卓苹果手机耳机 IPX4级防水 续航10h 雅黑,KUGOU,KUGOUM1,3008175,149.00,851692,5,740975,552412,0.98,7059,2190,6536,8499
兰士顿 D4C耳机入耳式有线降噪隔音四核双动圈重低音苹果vivo华为oppo通用K歌音乐手机吃鸡电脑游戏耳麦白色,兰士顿,兰士顿D4C,8629599,69.00,848720,5,363067,675689,0.98,1963,841,2988,3328
小米（MI）蓝牙耳机青春版 白色 挂耳式无线运动 通用耳塞,小米（MI）,小米小米蓝牙耳机青春版-白色,4057676,59.00,789645,5,648630,523725,0.98,4246,1565,3992,5151
华为耳机原装半入耳式有线mate9p10plus8x荣耀v20v10nova2s9iv9p9play 【标准版】华为AM115 白色-热卖款,华为（HUAWEI）,华为（HUAWEI）华为AM115、AM116、CM33、AM13等,13509480433,38.00,600395,5,391608,468890,0.99,1710,778,714,1054
魅族（MEIZU） EP21 三键一体式线控耳机 有线入耳式,魅族（MEIZU）,魅族EP-21 耳机,1336842,39.00,496061,5,469742,3345,0.95,540,7,7862,15504
漫步者（EDIFIER） H180P 手机耳机 立体声耳塞 兼容性强 可通话 珠光白,漫步者（EDIFIER）,漫步者H180P,796202,49.00,469770,5,417874,86491,0.94,973,185,6067,16016
【2019新款】漫步者（EDIFIER）W280BT 磁吸入耳式 无线蓝牙线控耳机 手机耳机 可通话 超长续航 红色,漫步者（EDIFIER）,漫步者W280BT,4461437,149.00,455359,5,319575,336267,0.98,2486,1278,2796,3569
恩科（ENKOR）EW13 无线蓝牙耳机适用于苹果iphone7/8/XR/Max 迷你超小运动智能触控入耳式华为小米手机耳机,ENKOR,ENKOREW13,100004712394,219.00,442789,5,111582,346291,0.96,2527,1404,2670,1817
QCY T1 5.0真无线蓝牙耳机 Air分离式运动耳麦 运动跑步迷你隐形微型超小双耳入耳式 苹果安卓手机通用 白色,QCY,QCYT1,100002581556,79.90,436841,5,215332,325613,0.97,2470,1837,2253,2721
毕亚兹(BIAZE) 便携收纳包 数据线包 耳机包 理线盒 防压防震 A15-黑,毕亚兹（BIAZE）,毕亚兹便携收纳包,970122,10.00,416182,5,366616,245396,0.98,629,75,3206,3746
