顾客编号,销售月份,销售金额,消费天数
0,201501,11.05,4
0,201504,13.6,1
1,201501,12.299999999999999,4
1,201502,30.299999999999997,3
2,201501,48.7,12
2,201502,30.0,10
3,201501,67.39,9
3,201502,360.97,17
3,201503,68.86999999999999,16
3,201504,49.28,10
4,201501,27.900000000000002,4
4,201504,154.94000000000003,14
5,201501,57.599999999999994,7
5,201503,33.5,4
5,201504,48.34,4
6,201501,23.990000000000002,3
6,201502,65.67,8
6,201503,11.5,1
6,201504,49.14,9
7,201501,138.37,6
7,201503,61.489999999999995,8
7,201504,52.07,11
8,201501,190.49,12
8,201503,111.85000000000001,11
8,201504,74.72000000000001,5
9,201501,80.4,9
10,201501,220.63000000000002,16
10,201503,117.03,11
11,201501,50.300000000000004,9
12,201501,677.8900000000002,77
12,201502,531.9499999999998,30
12,201503,391.52,47
12,201504,236.82999999999998,25
13,201501,158.29999999999995,16
13,201502,9.7,1
13,201503,160.72000000000003,18
13,201504,314.13999999999993,33
14,201501,298.21999999999997,16
15,201501,313.87999999999994,17
16,201501,139.99000000000004,11
16,201502,246.10000000000002,8
17,201501,240.76999999999995,48
17,201502,258.85,28
17,201503,45.019999999999996,9
17,201504,52.8,11
18,201501,32.44,4
19,201501,223.06,19
19,201504,42.900000000000006,6
20,201501,117.78000000000002,22
20,201502,122.24000000000001,20
20,201503,24.21,4
20,201504,131.35999999999999,13
21,201501,74.66,15
21,201502,111.1,3
21,201503,47.76,15
21,201504,13.879999999999999,5
22,201501,93.78999999999999,7
23,201501,16.2,2
24,201501,178.1299999999999,41
24,201502,144.58,30
24,201503,353.81999999999994,66
24,201504,177.28,22
25,201501,38.51,2
26,201501,184.39000000000001,18
26,201502,59.7,3
27,201501,81.59,7
28,201501,13.9,2
29,201501,20.5,3
30,201501,53.02,3
31,201501,173.08000000000004,36
31,201502,59.5,11
31,201503,176.26000000000005,45
31,201504,195.03,22
32,201501,415.03999999999985,52
32,201502,382.5200000000001,44
32,201503,175.76000000000005,32
32,201504,203.84,34
33,201501,219.7,9
34,201501,217.61000000000004,30
34,201502,190.10000000000005,37
34,201503,308.69999999999993,33
34,201504,242.20000000000005,29
35,201501,80.92,12
36,201501,42.72,4
36,201504,144.10000000000002,9
37,201501,102.75999999999999,19
37,201502,283.9,30
37,201504,21.6,4
38,201501,234.45000000000002,22
38,201502,145.35000000000002,13
38,201504,95.02000000000002,14
39,201501,155.79999999999998,29
39,201502,45.36,10
39,201503,230.09000000000012,32
39,201504,69.17999999999999,12
40,201501,32.65,6
40,201502,303.85,14
41,201501,38.43,9
41,201502,40.13,1
42,201501,27.650000000000002,4
42,201504,96.81,12
43,201501,55.8,5
43,201502,48.83,7
43,201504,113.2,5
44,201501,100.70000000000003,27
44,201502,59.88,7
44,201503,29.82,8
45,201501,12.5,5
46,201501,88.66,9
46,201502,12.46,4
46,201503,60.63,13
46,201504,89.93,19
47,201501,550.65,90
47,201502,39.29,7
47,201503,440.67999999999995,63
47,201504,301.64,34
48,201501,3.4299999999999997,3
48,201503,17.75,5
49,201501,253.12000000000006,38
49,201503,206.81000000000003,17
49,201504,146.16,17
50,201501,51.8,4
50,201502,17.5,2
50,201504,24.599999999999998,3
51,201501,519.7199999999999,124
51,201502,126.81000000000002,32
51,201503,73.58,19
51,201504,187.99000000000004,38
52,201501,307.27000000000004,38
52,201502,2025.0800000000006,141
52,201503,381.50999999999993,51
52,201504,875.2899999999997,62
53,201501,35.44,2
54,201501,54.29,3
55,201501,99.84,8
55,201503,28.78,6
55,201504,139.10000000000002,17
56,201501,103.02000000000002,13
56,201502,18.3,2
56,201503,214.56,10
56,201504,26.270000000000003,2
57,201501,61.3,6
57,201502,76.24999999999999,12
57,201503,25.45,3
57,201504,33.3,5
58,201501,126.89999999999998,14
58,201504,118.93,18
59,201501,13.84,4
60,201501,45.73,7
60,201502,31.6,7
60,201504,97.11000000000003,17
61,201501,75.51,23
61,201502,196.88,27
61,201503,67.25999999999999,20
61,201504,290.16999999999996,47
62,201501,296.12,17
62,201504,100.65,14
63,201501,35.07,7
64,201501,232.22000000000006,30
64,201502,72.66000000000001,12
64,201503,104.01000000000002,8
64,201504,45.5,8
65,201501,23.15,6
65,201503,32.1,3
66,201501,141.38,9
67,201501,6.8,1
67,201504,127.5,12
68,201501,195.39000000000007,26
68,201502,149.3,11
68,201503,60.22,7
68,201504,206.12000000000003,19
69,201501,88.3,10
70,201501,149.89000000000001,33
70,201502,73.7,13
70,201503,74.57000000000001,11
70,201504,11.07,2
71,201501,173.30999999999995,30
71,201502,11.149999999999999,5
72,201501,739.53,58
72,201502,196.0,1
73,201501,352.8,32
73,201502,296.3500000000001,31
73,201503,208.95000000000002,18
73,201504,239.29000000000005,31
74,201501,664.8099999999997,53
74,201502,137.30000000000004,13
74,201503,316.8,15
74,201504,541.4599999999999,37
75,201501,157.10000000000002,31
75,201502,19.64,6
75,201503,181.15000000000003,40
75,201504,214.86999999999998,32
76,201501,246.99,33
76,201502,31.799999999999997,6
76,201504,74.84,10
77,201501,100.9,14
77,201503,12.4,3
78,201501,338.93,15
78,201502,503.51,33
78,201503,59.47,7
78,201504,21.19,8
79,201501,26.89,6
80,201501,199.4,9
81,201501,257.46999999999997,31
81,201502,254.07000000000002,46
81,201503,273.79999999999995,26
81,201504,211.13000000000002,26
82,201501,34.48,6
82,201504,64.86,3
83,201501,89.85,13
84,201501,396.68999999999994,38
84,201502,416.59999999999985,26
84,201503,232.10000000000005,10
84,201504,413.24000000000007,33
85,201501,26.18,3
85,201503,82.11,5
86,201501,197.30000000000004,7
86,201504,68.46,7
87,201501,351.88999999999993,29
87,201502,123.47999999999999,6
87,201503,250.80999999999997,22
87,201504,173.08000000000007,29
88,201501,102.88,14
88,201502,190.01000000000002,8
88,201503,71.72,13
89,201501,26.5,5
90,201501,197.23000000000005,22
90,201502,284.98999999999995,24
90,201504,42.3,5
91,201501,377.49999999999994,43
91,201502,98.34,9
91,201503,96.14000000000001,11
91,201504,576.1899999999998,44
92,201501,1020.22,98
92,201502,215.02999999999997,28
92,201504,111.27000000000001,16
93,201501,260.28000000000003,43
93,201502,112.92,21
93,201503,222.53000000000003,31
93,201504,275.2299999999999,43
94,201501,361.49999999999994,33
94,201503,33.2,5
95,201501,36.84,9
95,201502,62.160000000000004,13
95,201503,63.36000000000001,15
95,201504,50.629999999999995,6
96,201501,73.82000000000001,15
97,201501,7.11,3
98,201501,22.700000000000003,3
99,201501,214.24,7
99,201504,90.70000000000002,7
100,201501,44.72,2
101,201501,21.9,4
102,201501,90.19,21
102,201502,162.88,39
102,201503,152.58,16
102,201504,161.9,13
103,201501,137.43,9
103,201503,33.730000000000004,8
104,201501,91.38000000000001,9
104,201503,118.69,8
105,201501,348.32000000000005,61
105,201502,121.47999999999999,33
105,201503,79.76,8
105,201504,149.59000000000003,15
106,201501,183.1,14
106,201502,72.71,10
106,201503,32.57,6
106,201504,117.79,18
107,201501,215.46,15
107,201502,438.90000000000003,11
107,201503,61.75,7
107,201504,44.75,3
108,201501,677.5300000000001,86
108,201502,662.85,18
108,201503,514.0599999999998,43
108,201504,485.88000000000005,29
109,201501,24.7,4
109,201502,73.6,6
110,201501,103.12,14
111,201501,17.85,2
111,201504,162.43,6
112,201501,44.38999999999999,4
113,201501,129.92,19
113,201502,138.51,19
113,201503,34.54,9
113,201504,402.40999999999985,35
114,201501,188.29000000000005,17
115,201501,109.61,12
115,201504,23.42,1
116,201501,112.6,2
117,201501,260.96000000000004,9
117,201503,32.0,5
117,201504,19.47,5
118,201501,85.66000000000001,10
118,201502,61.28,4
118,201503,202.40000000000003,14
119,201501,148.51999999999998,11
119,201502,235.24000000000007,25
119,201503,239.47000000000006,20
119,201504,112.60999999999999,8
120,201501,58.370000000000005,3
121,201501,193.15000000000003,16
121,201502,14.9,2
121,201503,80.52,11
121,201504,142.67000000000002,19
122,201501,75.18,5
122,201502,41.540000000000006,8
122,201503,36.11,6
123,201501,42.57,3
124,201501,23.96,6
125,201501,10.9,1
126,201501,143.93,7
126,201502,261.07,7
126,201503,170.06,14
127,201501,435.6199999999999,72
127,201502,63.55,6
127,201503,221.62,28
127,201504,172.31000000000003,23
128,201501,94.10000000000001,17
129,201501,172.52,14
130,201501,103.67,16
130,201502,44.349999999999994,15
130,201504,117.08,14
131,201501,152.5,11
132,201501,64.8,11
132,201502,119.4,8
133,201501,115.13000000000001,26
133,201504,375.5300000000001,37
134,201501,175.32,20
134,201502,55.4,7
134,201503,137.56,12
134,201504,134.44000000000005,18
135,201501,55.309999999999995,5
136,201501,45.26,6
137,201501,57.830000000000005,13
138,201501,31.78,2
139,201501,148.25,19
139,201502,471.09,20
139,201503,269.91999999999996,29
139,201504,69.21,6
140,201501,170.41000000000003,31
141,201501,35.720000000000006,5
142,201501,301.4700000000001,52
142,201502,295.26,41
142,201503,246.34,25
142,201504,255.05,28
143,201501,91.50999999999999,11
143,201502,127.8,1
143,201504,85.3,5
144,201501,271.21999999999997,43
144,201502,462.85999999999996,46
144,201503,149.35999999999999,18
144,201504,224.29,21
145,201501,202.04999999999998,17
145,201502,203.03000000000003,14
145,201503,420.2199999999998,32
145,201504,243.15,15
146,201501,233.62,38
146,201502,161.17000000000002,13
146,201503,30.95,7
146,201504,65.85,15
147,201501,59.7,1
147,201502,35.3,6
148,201501,31.799999999999997,2
149,201501,101.81000000000002,13
150,201501,3.0300000000000002,2
150,201504,105.78,10
151,201501,400.9399999999999,41
151,201502,102.5,4
151,201504,177.38000000000005,30
152,201501,60.19,15
152,201502,25.39,5
152,201503,27.65,2
152,201504,12.260000000000002,3
153,201501,212.19000000000003,17
153,201503,86.0,8
154,201501,53.82000000000001,6
155,201501,89.10000000000001,9
156,201501,141.77000000000004,20
156,201502,12.96,3
156,201503,51.32,8
156,201504,110.09000000000002,19
157,201501,12.440000000000001,3
157,201503,22.799999999999997,3
158,201501,21.9,4
159,201501,59.75,10
159,201502,440.4,5
160,201501,59.129999999999995,2
160,201502,66.49000000000001,4
161,201501,27.279999999999998,3
162,201501,106.50999999999999,13
162,201503,147.92000000000002,8
163,201501,138.47,21
163,201502,102.17000000000002,10
163,201504,47.4,4
164,201501,181.31000000000003,29
164,201503,114.24000000000001,19
164,201504,274.76000000000005,17
165,201501,40.95,2
166,201501,40.480000000000004,4
166,201503,23.78,6
166,201504,3.5,1
167,201501,133.56000000000003,10
167,201503,69.17999999999999,10
167,201504,84.56,8
168,201501,65.28999999999999,8
168,201502,80.3,6
168,201503,71.13999999999999,14
168,201504,44.34,7
169,201501,43.82,6
169,201503,67.24,5
170,201501,7.3,1
171,201501,47.34,6
171,201502,48.36999999999999,11
172,201501,180.18,13
172,201502,373.1,7
172,201503,48.94,3
172,201504,34.92,3
173,201501,73.3,3
173,201502,53.7,5
174,201501,402.83,60
174,201502,64.51,6
174,201503,516.91,46
174,201504,249.91000000000005,34
175,201501,106.60000000000002,4
176,201501,59.32,7
176,201502,33.82,8
176,201504,26.27,9
177,201501,243.95000000000002,18
177,201502,131.97,7
177,201503,105.30000000000001,6
178,201501,20.200000000000003,2
179,201501,145.53,6
179,201503,136.16000000000003,15
179,201504,98.49,11
180,201501,42.01,4
180,201502,2.7,1
180,201504,22.990000000000002,3
181,201501,378.6599999999999,46
181,201502,135.42,14
181,201504,143.66,13
182,201501,44.9,2
182,201502,92.47999999999999,6
183,201501,120.76,17
183,201502,295.21,31
183,201503,41.440000000000005,6
183,201504,70.39999999999999,8
184,201501,56.69,5
185,201501,22.37,5
185,201503,17.16,2
186,201501,34.510000000000005,8
187,201501,149.34,22
187,201503,31.66,6
188,201501,158.34000000000003,22
189,201501,78.48,10
189,201502,101.30000000000001,5
189,201503,11.5,1
189,201504,152.32999999999998,3
190,201501,288.5799999999999,30
190,201502,37.43,10
190,201503,171.83000000000004,24
190,201504,263.2,24
191,201501,54.599999999999994,10
191,201502,25.9,2
191,201503,89.6,5
192,201501,19.5,3
193,201501,28.110000000000003,6
194,201501,46.44,3
195,201501,20.33,2
196,201501,225.95000000000002,28
196,201503,70.99,11
197,201501,293.06000000000006,19
198,201501,102.72,20
198,201504,97.17000000000002,6
199,201501,49.54,17
199,201502,134.96,16
199,201503,13.780000000000001,3
199,201504,80.85,10
200,201501,19.09,3
200,201504,26.85,4
201,201501,60.49999999999999,9
201,201502,132.27,9
201,201503,60.93,7
201,201504,24.1,5
202,201501,30.6,5
203,201501,375.49999999999994,24
203,201502,6.5,1
203,201503,85.60000000000001,3
204,201501,169.46,33
204,201502,50.379999999999995,8
204,201503,142.74,21
204,201504,94.78,25
205,201501,365.9599999999999,60
205,201502,138.36999999999998,18
